movieInfo,title,star,quote
"
导演:宫崎骏   主演:松田洋治/石田百合子/田中裕子
1997 / 日本 / 动画冒险奇幻


",幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女,8.8,人与自然的战争史诗。
"
导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...
1997 / 美国 / 剧情


",心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,8.7,人生中应该拥有这样的一段豁然开朗。
"
导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...
1993 / 香港 / 喜剧古装


",射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),8.7,百看不厌。 
"
导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...
2010 / 中国大陆香港 / 剧情喜剧动作西部


",让子弹飞 / 让子弹飞一会儿  /  火烧云,8.7,你给我翻译翻译，神马叫做TMD的惊喜。
"
导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao
1994 / 中国大陆香港 / 剧情


",阳光灿烂的日子 / In the Heat of the Sun,8.7,一场华丽的意淫。
"
导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...
2011 / 韩国 / 剧情喜剧


",阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
"
导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea...
2002 / 巴西法国 / 犯罪剧情


",上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),8.9,被上帝抛弃了的上帝之城。
"
导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子
1988 / 日本 / 动画剧情战争


",萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,8.7,幸福是生生不息，却难以触及的远。 
"
导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...
1961(上集)/1964(下集)/1978(全本)/2004(纪念版) / 中国大陆 / 动画奇幻


",大闹天宫 / 大闹天宫 上下集  /  The Monkey King,9.2,经典之作，历久弥新。
"
导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/...
1957 / 美国 / 剧情犯罪悬疑


",控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,9.5,比利·怀德满分作品。
"
导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...
1994 / 香港 / 剧情爱情


",重庆森林 / 重慶森林 / Chungking Express,8.6,寂寞没有期限。
"
导演:王家卫   主演:梁朝伟/张国荣/张震
1997 / 香港日本韩国 / 剧情爱情同性


",春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,8.7,爱情纠缠，男女一致。
"
导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...
2010 / 美国 / 剧情悬疑惊悚


",禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台),8.6,昔日翩翩少年，今日大腹便便。
"
导演:JamesMangold   主演:JohnCusack/RayLiotta/AmandaPeet
2003 / 美国 / 剧情悬疑惊悚


",致命ID / Identity / 杀人游戏  /  致命身份,8.6,最不可能的那个人永远是最可能的。
"
导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...
2010 / 日本 / 剧情惊悚


",告白 / 自白  /  母亲,8.6,没有一人完全善，也没有一人完全恶。
"
导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...
1996 / 香港 / 剧情爱情


",甜蜜蜜 / Comrades: Almost a Love Story,8.7,逢只要一瞬间，等待却像是一辈子。
"
导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...
2003 / 美国 / 动作冒险奇幻


",加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),8.6,约翰尼·德普的独角戏。
"
导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...
1995 / 美国奥地利瑞士 / 剧情爱情


",爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台),8.7,缘分是个连绵词，最美不过一瞬。
"
导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...
2009 / 美国英国 / 动作冒险奇幻科幻


",阿凡达 / Avatar / 天神下凡  /  化身,8.6,绝对意义上的美轮美奂。
